Mod:Item:MetaData, Localized Name
botania:miniIsland:10, Floating Purple Flower
botania:miniIsland:11, Floating Blue Flower
botania:miniIsland:12, Floating Brown Flower
botania:miniIsland:13, Floating Green Flower
botania:miniIsland:14, Floating Red Flower
botania:miniIsland:15, Floating Black Flower
botania:tinyPotato, tile.tinyPotato.name
botania:spawnerClaw, tile.spawnerClaw.name
botania:customBrick:4, Azulejo
botania:customBrick:5, Azulejo
botania:customBrick:6, Azulejo
botania:customBrick:7, Azulejo
botania:customBrick:8, Azulejo
botania:customBrick:9, Azulejo
botania:customBrick:10, Azulejo
botania:customBrick:11, Azulejo
botania:customBrick:12, Azulejo
botania:customBrick:13, Azulejo
botania:customBrick:14, Azulejo
botania:customBrick:15, Azulejo
botania:enderEyeBlock, tile.enderEyeBlock.name
botania:starfield, tile.starfield.name
botania:rfGenerator, tile.rfGenerator.name
botania:elfGlass, tile.elfGlass.name
botania:brewery, tile.brewery.name
botania:manaGlass, tile.manaGlass.name
botania:terraPlate, tile.terraPlate.name
botania:redStringContainer, tile.redStringContainer.name
botania:redStringDispenser, tile.redStringDispenser.name
botania:redStringFertilizer, tile.redStringFertilizer.name
botania:redStringComparator, tile.redStringComparator.name
botania:redStringRelay, tile.redStringRelay.name
botania:floatingSpecialFlower:0, Floating Pure Daisy
botania:floatingSpecialFlower:0, Floating Manastar
botania:floatingSpecialFlower:0, Floating Endoflame
botania:floatingSpecialFlower:0, Floating Hydroangeas
botania:floatingSpecialFlower:0, Floating Thermalily
botania:floatingSpecialFlower:0, Floating Rosa Arcana
botania:floatingSpecialFlower:0, Floating Munchdew
botania:floatingSpecialFlower:0, Floating Entropinnyum
botania:floatingSpecialFlower:0, Floating Kekimurus
botania:floatingSpecialFlower:0, Floating Gourmaryllis
botania:floatingSpecialFlower:0, Floating Narslimmus
botania:floatingSpecialFlower:0, Floating Spectrolus
botania:floatingSpecialFlower:0, Floating Rafflowsia
botania:floatingSpecialFlower:0, Floating Dandelifeon
botania:floatingSpecialFlower:0, Floating Jaded Amaranthus
botania:floatingSpecialFlower:0, Floating Bellethorne
botania:floatingSpecialFlower:0, Floating Bellethorne Petite
botania:floatingSpecialFlower:0, Floating Dreadthorne
botania:floatingSpecialFlower:0, Floating Heisei Dream
botania:floatingSpecialFlower:0, Floating Tigerseye
botania:floatingSpecialFlower:0, Floating Marimorphosis
botania:floatingSpecialFlower:0, Floating Marimorphosis Petite
botania:floatingSpecialFlower:0, Floating Orechid
botania:floatingSpecialFlower:0, Floating Orechid Ignem
botania:floatingSpecialFlower:0, Floating Fallen Kanade
botania:floatingSpecialFlower:0, Floating Exoflame
botania:floatingSpecialFlower:0, Floating Agricarnation
botania:floatingSpecialFlower:0, Floating Agricarnation Petite
botania:floatingSpecialFlower:0, Floating Hopperhock
botania:floatingSpecialFlower:0, Floating Hopperhock Petite
botania:floatingSpecialFlower:0, Floating Rannuncarpus
botania:floatingSpecialFlower:0, Floating Rannuncarpus Petite
botania:floatingSpecialFlower:0, Floating Tangleberrie
botania:floatingSpecialFlower:0, Floating Jiyuulia
botania:floatingSpecialFlower:0, Floating Hyacidus
botania:floatingSpecialFlower:0, Floating Medumone
botania:floatingSpecialFlower:0, Floating Pollidisiac
botania:floatingSpecialFlower:0, Floating Clayconia
botania:floatingSpecialFlower:0, Floating Clayconia Petite
botania:floatingSpecialFlower:0, Floating Loonium
botania:floatingSpecialFlower:0, Floating Daffomill
botania:floatingSpecialFlower:0, Floating Vinculotus
botania:floatingSpecialFlower:0, Floating Spectranthemum
botania:floatingSpecialFlower:0, Floating Bubbell
botania:floatingSpecialFlower:0, Floating Bubbell Petite
botania:floatingSpecialFlower:0, Floating Solegnolia
botania:floatingSpecialFlower:0, Floating Solegnolia Petite
botania:floatingSpecialFlower:0, Floating Bergamute
botania:prism, tile.prism.name
botania:enchantedSoil, tile.enchantedSoil.name
botania:petalBlock:0, White Petal Block
botania:petalBlock:1, Orange Petal Block
botania:petalBlock:2, Magenta Petal Block
botania:petalBlock:3, Light Blue Petal Block
botania:petalBlock:4, Yellow Petal Block
botania:petalBlock:5, Lime Petal Block
botania:petalBlock:6, Pink Petal Block
botania:petalBlock:7, Gray Petal Block
botania:petalBlock:8, Light Gray Petal Block
botania:petalBlock:9, Cyan Petal Block
botania:petalBlock:10, Purple Petal Block
botania:petalBlock:11, Blue Petal Block
botania:petalBlock:12, Brown Petal Block
botania:petalBlock:13, Green Petal Block
botania:petalBlock:14, Red Petal Block
botania:petalBlock:15, Black Petal Block
botania:corporeaIndex, tile.corporeaIndex.name
botania:corporeaFunnel, tile.corporeaFunnel.name
botania:mushroom:0, White Shimmering Mushroom
botania:mushroom:1, Orange Shimmering Mushroom
botania:mushroom:2, Magenta Shimmering Mushroom
botania:mushroom:3, Light Blue Shimmering Mushroom
botania:mushroom:4, Yellow Shimmering Mushroom
botania:mushroom:5, Lime Shimmering Mushroom
botania:mushroom:6, Pink Shimmering Mushroom
botania:mushroom:7, Gray Shimmering Mushroom
botania:mushroom:8, Light Gray Shimmering Mushroom
botania:mushroom:9, Cyan Shimmering Mushroom
botania:mushroom:10, Purple Shimmering Mushroom
botania:mushroom:11, Blue Shimmering Mushroom
botania:mushroom:12, Brown Shimmering Mushroom
botania:mushroom:13, Green Shimmering Mushroom
botania:mushroom:14, Red Shimmering Mushroom
botania:mushroom:15, Black Shimmering Mushroom
botania:pump, tile.pump.name
botania:doubleFlower1:0, Tall Mystical White Flower
botania:doubleFlower1:1, Tall Mystical Orange Flower
botania:doubleFlower1:2, Tall Mystical Magenta Flower
botania:doubleFlower1:3, Tall Mystical Light Blue Flower
botania:doubleFlower1:4, Tall Mystical Yellow Flower
botania:doubleFlower1:5, Tall Mystical Lime Flower
botania:doubleFlower1:6, Tall Mystical Pink Flower
botania:doubleFlower1:7, Tall Mystical Gray Flower
botania:doubleFlower2:0, Tall Mystical Light Gray Flower
botania:doubleFlower2:1, Tall Mystical Cyan Flower
botania:doubleFlower2:2, Tall Mystical Purple Flower
botania:doubleFlower2:3, Tall Mystical Blue Flower
botania:doubleFlower2:4, Tall Mystical Brown Flower
botania:doubleFlower2:5, Tall Mystical Green Flower
botania:doubleFlower2:6, Tall Mystical Red Flower
botania:doubleFlower2:7, Tall Mystical Black Flower
botania:blazeBlock, tile.blazeBlock.name
botania:corporeaInterceptor, tile.corporeaInterceptor.name
botania:corporeaCrystalCube, tile.corporeaCrystalCube.name
botania:incensePlate, tile.incensePlate.name
botania:hourglass, tile.hourglass.name
botania:ghostRail, tile.ghostRail.name
botania:sparkChanger, tile.sparkChanger.name
botania:root, tile.root.name
botania:felPumpkin, tile.felPumpkin.name
botania:cocoon, tile.cocoon.name
botania:lightRelay:0, Luminizer
botania:lightRelay:1, Detector Luminizer
botania:lightRelay:2, Fork Luminizer
botania:lightRelay:3, Toggle Luminizer
botania:lightLauncher, tile.lightLauncher.name
botania:manaBomb, tile.manaBomb.name
botania:cacophoniumBlock, tile.cacophoniumBlock.name
botania:bellows, tile.bellows.name
botania:bifrostPerm, tile.bifrostPerm.name
botania:cellBlock, tile.cellBlock.name
botania:redStringInterceptor, tile.redStringInterceptor.name
botania:corporeaRetainer, tile.corporeaRetainer.name
botania:teruTeruBozu, tile.teruTeruBozu.name
botania:shimmerrock, tile.shimmerrock.name
botania:shimmerwoodPlanks, tile.shimmerwoodPlanks.name
botania:avatar, tile.avatar.name
botania:altGrass:0, Dry Grass
botania:altGrass:1, Golden Grass
botania:altGrass:2, Vivid Grass
botania:altGrass:3, Scorched Grass
botania:altGrass:4, Infused Grass
botania:altGrass:5, Mutated Grass
botania:animatedTorch, tile.animatedTorch.name
botania:livingwood0Stairs, tile.livingwood0Stairs.name
botania:livingwood0Wall, tile.livingwood0Wall.name
botania:livingwood1Stairs, tile.livingwood1Stairs.name
botania:livingrock0Stairs, tile.livingrock0Stairs.name
botania:livingrock0Wall, tile.livingrock0Wall.name
botania:livingrock1Stairs, tile.livingrock1Stairs.name
botania:dreamwood0Stairs, tile.dreamwood0Stairs.name
botania:dreamwood0Wall, tile.dreamwood0Wall.name
botania:dreamwood1Stairs, tile.dreamwood1Stairs.name
botania:biomeStoneA:0, Metamorphic Forest Stone
botania:biomeStoneA:1, Metamorphic Plains Stone
botania:biomeStoneA:2, Metamorphic Mountain Stone
botania:biomeStoneA:3, Metamorphic Fungal Stone
botania:biomeStoneA:4, Metamorphic Swamp Stone
botania:biomeStoneA:5, Metamorphic Desert Stone
botania:biomeStoneA:6, Metamorphic Taiga Stone
botania:biomeStoneA:7, Metamorphic Mesa Stone
botania:biomeStoneA:8, Metamorphic Forest Cobblestone
botania:biomeStoneA:9, Metamorphic Plains Cobblestone
botania:biomeStoneA:10, Metamorphic Mountain Cobblestone
botania:biomeStoneA:11, Metamorphic Fungal Cobblestone
botania:biomeStoneA:12, Metamorphic Swamp Cobblestone
botania:biomeStoneA:13, Metamorphic Desert Cobblestone
botania:biomeStoneA:14, Metamorphic Taiga Cobblestone
botania:biomeStoneA:15, Metamorphic Mesa Cobblestone
botania:biomeStoneB:0, Metamorphic Forest Stone Bricks
botania:biomeStoneB:1, Metamorphic Plains Stone Bricks
botania:biomeStoneB:2, Metamorphic Mountain Stone Bricks
botania:biomeStoneB:3, Metamorphic Fungal Stone Bricks
botania:biomeStoneB:4, Metamorphic Swamp Stone Bricks
botania:biomeStoneB:5, Metamorphic Desert Stone Bricks
botania:biomeStoneB:6, Metamorphic Taiga Stone Bricks
botania:biomeStoneB:7, Metamorphic Mesa Stone Bricks
botania:biomeStoneB:8, Chiseled Metamorphic Forest Stone Brick
botania:biomeStoneB:9, Chiseled Metamorphic Plains Stone Brick
botania:biomeStoneB:10, Chiseled Metamorphic Mountain Stone Brick
botania:biomeStoneB:11, Chiseled Metamorphic Fungal Stone Brick
botania:biomeStoneB:12, Chiseled Metamorphic Swamp Stone Brick
botania:biomeStoneB:13, Chiseled Metamorphic Desert Stone Brick
botania:biomeStoneB:14, Chiseled Metamorphic Taiga Stone Brick
botania:biomeStoneB:15, Chiseled Metamorphic Mesa Stone Brick
botania:pavement:0, White Portuguese Pavement
botania:pavement:1, Black Portuguese Pavement
botania:pavement:2, Blue Portuguese Pavement
botania:pavement:3, Red Portuguese Pavement
botania:pavement:4, Yellow Portuguese Pavement
botania:pavement:5, Green Portuguese Pavement
botania:quartzTypeDark:0, Block of Smokey Quartz
botania:quartzTypeDark:1, Chiseled Smokey Quartz Block
botania:quartzTypeDark:2, Pillar Smokey Quartz Block
botania:quartzStairsDark, tile.quartzStairsDark.name
botania:quartzTypeMana:0, Block of Mana Quartz
botania:quartzTypeMana:1, Chiseled Mana Quartz Block
botania:quartzTypeMana:2, Pillar Mana Quartz Block
botania:quartzStairsMana, tile.quartzStairsMana.name
botania:quartzTypeBlaze:0, Block of Blaze Quartz
botania:quartzTypeBlaze:1, Chiseled Blaze Quartz Block
botania:quartzTypeBlaze:2, Pillar Blaze Quartz Block
botania:quartzStairsBlaze, tile.quartzStairsBlaze.name
botania:quartzTypeLavender:0, Block of Lavender Quartz
botania:quartzTypeLavender:1, Chiseled Lavender Quartz Block
botania:quartzTypeLavender:2, Pillar Lavender Quartz Block
botania:quartzStairsLavender, tile.quartzStairsLavender.name
botania:quartzTypeRed:0, Block of Redquartz
botania:quartzTypeRed:1, Chiseled Redquartz Block
botania:quartzTypeRed:2, Pillar Redquartz Block
botania:quartzStairsRed, tile.quartzStairsRed.name
botania:quartzTypeElf:0, Block of Elven Quartz
botania:quartzTypeElf:1, Chiseled Elven Quartz Block
botania:quartzTypeElf:2, Pillar Elven Quartz Block
botania:quartzStairsElf, tile.quartzStairsElf.name
botania:quartzTypeSunny:0, Block of Sunny Quartz
botania:quartzTypeSunny:1, Chiseled Sunny Quartz Block
botania:quartzTypeSunny:2, Pillar Sunny Quartz Block
botania:quartzStairsSunny, tile.quartzStairsSunny.name
botania:biomeStoneA0Stairs, tile.biomeStoneA0Stairs.name
botania:biomeStoneA1Stairs, tile.biomeStoneA1Stairs.name
botania:biomeStoneA2Stairs, tile.biomeStoneA2Stairs.name
botania:biomeStoneA3Stairs, tile.biomeStoneA3Stairs.name
botania:biomeStoneA4Stairs, tile.biomeStoneA4Stairs.name
botania:biomeStoneA5Stairs, tile.biomeStoneA5Stairs.name
botania:biomeStoneA6Stairs, tile.biomeStoneA6Stairs.name
botania:biomeStoneA7Stairs, tile.biomeStoneA7Stairs.name
botania:biomeStoneA8Stairs, tile.biomeStoneA8Stairs.name
botania:biomeStoneA9Stairs, tile.biomeStoneA9Stairs.name
botania:biomeStoneA10Stairs, tile.biomeStoneA10Stairs.name
botania:biomeStoneA11Stairs, tile.biomeStoneA11Stairs.name
botania:biomeStoneA12Stairs, tile.biomeStoneA12Stairs.name
botania:biomeStoneA13Stairs, tile.biomeStoneA13Stairs.name
botania:biomeStoneA14Stairs, tile.biomeStoneA14Stairs.name
botania:biomeStoneA15Stairs, tile.biomeStoneA15Stairs.name
botania:biomeStoneB0Stairs, tile.biomeStoneB0Stairs.name
botania:biomeStoneB1Stairs, tile.biomeStoneB1Stairs.name
botania:biomeStoneB2Stairs, tile.biomeStoneB2Stairs.name
botania:biomeStoneB3Stairs, tile.biomeStoneB3Stairs.name
botania:biomeStoneB4Stairs, tile.biomeStoneB4Stairs.name
botania:biomeStoneB5Stairs, tile.biomeStoneB5Stairs.name
botania:biomeStoneB6Stairs, tile.biomeStoneB6Stairs.name
botania:biomeStoneB7Stairs, tile.biomeStoneB7Stairs.name
botania:biomeStoneA0Wall:0, Metamorphic Forest Cobblestone Wall
botania:biomeStoneA0Wall:1, Metamorphic Plains Cobblestone Wall
botania:biomeStoneA0Wall:2, Metamorphic Mountain Cobblestone Wall
botania:biomeStoneA0Wall:3, Metamorphic Fungal Cobblestone Wall
botania:biomeStoneA0Wall:4, Metamorphic Swamp Cobblestone Wall
botania:biomeStoneA0Wall:5, Metamorphic Desert Cobblestone Wall
botania:biomeStoneA0Wall:6, Metamorphic Taiga Cobblestone Wall
botania:biomeStoneA0Wall:7, Metamorphic Mesa Cobblestone Wall
botania:pavement0Stairs, tile.pavement0Stairs.name
botania:pavement1Stairs, tile.pavement1Stairs.name
botania:pavement2Stairs, tile.pavement2Stairs.name
botania:pavement3Stairs, tile.pavement3Stairs.name
botania:pavement4Stairs, tile.pavement4Stairs.name
botania:pavement5Stairs, tile.pavement5Stairs.name
botania:shimmerrock0Stairs, tile.shimmerrock0Stairs.name
botania:shimmerwoodPlanks0Stairs, tile.shimmerwoodPlanks0Stairs.name
botania:manaGlassPane, tile.manaGlassPane.name
botania:elfGlassPane, tile.elfGlassPane.name
botania:bifrostPermPane, tile.bifrostPermPane.name
botania:livingwood0Slab:0, Livingwood Slab
botania:livingwood1Slab:0, Livingwood Plank Slab
botania:livingrock0Slab:0, Livingrock Slab
botania:livingrock1Slab:0, Livingrock Brick Slab
botania:dreamwood0Slab:0, Dreamwood Slab
botania:dreamwood1Slab:0, Dreamwood Plank Slab
botania:quartzSlabDarkHalf:0, Smokey Quartz Slab
botania:quartzSlabManaHalf:0, Mana Quartz Slab
botania:quartzSlabBlazeHalf:0, Blaze Quartz Slab
botania:quartzSlabLavenderHalf:0, Lavender Quartz Slab
botania:quartzSlabRedHalf:0, Redquartz Slab
botania:quartzSlabElfHalf:0, Elven Quartz Slab
botania:quartzSlabSunnyHalf:0, Sunny Quartz Slab
botania:biomeStoneA0Slab:0, Metamorphic Forest Stone Slab
botania:biomeStoneA1Slab:0, Metamorphic Plains Stone Slab
botania:biomeStoneA2Slab:0, Metamorphic Mountain Stone Slab
botania:biomeStoneA3Slab:0, Metamorphic Fungal Stone Slab
botania:biomeStoneA4Slab:0, Metamorphic Swamp Stone Slab
botania:biomeStoneA5Slab:0, Metamorphic Desert Stone Slab
botania:biomeStoneA6Slab:0, Metamorphic Taiga Stone Slab
botania:biomeStoneA7Slab:0, Metamorphic Mesa Stone Slab
botania:biomeStoneA8Slab:0, Metamorphic Forest Cobblestone Slab
botania:biomeStoneA9Slab:0, Metamorphic Plains Cobblestone Slab
botania:biomeStoneA10Slab:0, Metamorphic Mountain Cobblestone Slab
botania:biomeStoneA11Slab:0, Metamorphic Fungal Cobblestone Slab
botania:biomeStoneA12Slab:0, Metamorphic Swamp Cobblestone Slab
botania:biomeStoneA13Slab:0, Metamorphic Desert Cobblestone Slab
botania:biomeStoneA14Slab:0, Metamorphic Taiga Cobblestone Slab
botania:biomeStoneA15Slab:0, Metamorphic Mesa Cobblestone Slab
botania:biomeStoneB0Slab:0, Metamorphic Forest Stone Brick Slab
botania:biomeStoneB1Slab:0, Metamorphic Plains Stone Brick Slab
botania:biomeStoneB2Slab:0, Metamorphic Mountain Stone Brick Slab
botania:biomeStoneB3Slab:0, Metamorphic Fungal Stone Brick Slab
botania:biomeStoneB4Slab:0, Metamorphic Swamp Stone Brick Slab
botania:biomeStoneB5Slab:0, Metamorphic Desert Stone Brick Slab
botania:biomeStoneB6Slab:0, Metamorphic Taiga Stone Brick Slab
botania:biomeStoneB7Slab:0, Metamorphic Mesa Stone Bricks Slab
botania:pavement0Slab:0, White Portuguese Pavement Slab
botania:pavement1Slab:0, Black Portuguese Pavement Slab
botania:pavement2Slab:0, Blue Portuguese Pavement Slab
botania:pavement3Slab:0, Red Portuguese Pavement Slab
botania:pavement4Slab:0, Yellow Portuguese Pavement Slab
botania:pavement5Slab:0, Green Portuguese Pavement Slab
botania:shimmerrock0Slab:0, Shimmerrock Slab
botania:shimmerwoodPlanks0Slab:0, Shimmerwood Plank Slab
botania:lexicon, item.lexicon.name
botania:petal:0, Mystical White Petal
botania:petal:1, Mystical Orange Petal
botania:petal:2, Mystical Magenta Petal
botania:petal:3, Mystical Light Blue Petal
botania:petal:4, Mystical Yellow Petal
botania:petal:5, Mystical Lime Petal
botania:petal:6, Mystical Pink Petal
botania:petal:7, Mystical Gray Petal
botania:petal:8, Mystical Light Gray Petal
botania:petal:9, Mystical Cyan Petal
botania:petal:10, Mystical Purple Petal
botania:petal:11, Mystical Blue Petal
botania:petal:12, Mystical Brown Petal
botania:petal:13, Mystical Green Petal
botania:petal:14, Mystical Red Petal
botania:petal:15, Mystical Black Petal
botania:dye:0, Floral White Powder
botania:dye:1, Floral Orange Powder
botania:dye:2, Floral Magenta Powder
botania:dye:3, Floral Light Blue Powder
botania:dye:4, Floral Yellow Powder
botania:dye:5, Floral Lime Powder
botania:dye:6, Floral Pink Powder
botania:dye:7, Floral Gray Powder
botania:dye:8, Floral Light Gray Powder
botania:dye:9, Floral Cyan Powder
botania:dye:10, Floral Purple Powder
botania:dye:11, Floral Blue Powder
botania:dye:12, Floral Brown Powder
botania:dye:13, Floral Green Powder
botania:dye:14, Floral Red Powder
botania:dye:15, Floral Black Powder
botania:pestleAndMortar, item.pestleAndMortar.name
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:twigWand:0, Wand of the Forest
botania:manaResource:0, Manasteel Ingot
botania:manaResource:1, Mana Pearl
botania:manaResource:2, Mana Diamond
botania:manaResource:3, Livingwood Twig
botania:manaResource:4, Terrasteel Ingot
botania:manaResource:5, Gaia Spirit
botania:manaResource:6, Redstone Root
botania:manaResource:7, Elementium Ingot
botania:manaResource:8, Pixie Dust
botania:manaResource:9, Dragonstone
botania:manaResource:10, Prismarine Shard
botania:manaResource:11, Crafting Placeholder
botania:manaResource:12, Red String
botania:manaResource:13, Dreamwood Twig
botania:manaResource:14, Gaia Spirit Ingot
botania:manaResource:15, Ender Air Bottle
botania:manaResource:16, Mana Infused String
botania:manaResource:17, Manasteel Nugget
botania:manaResource:18, Terrasteel Nugget
botania:manaResource:19, Elementium Nugget
botania:manaResource:22, Manaweave Cloth
botania:manaResource:23, Mana Powder
botania:lens:0, Mana Lens
botania:lens:1, Mana Lens: Velocity
botania:lens:2, Mana Lens: Potency
botania:lens:3, Mana Lens: Resistance
botania:lens:4, Mana Lens: Efficiency
botania:lens:5, Mana Lens: Bounce
botania:lens:6, Mana Lens: Gravity
botania:lens:7, Mana Lens: Bore
botania:lens:8, Mana Lens: Damaging
botania:lens:9, Mana Lens: Phantom
botania:lens:10, Mana Lens: Magnetizing
botania:lens:11, Mana Lens: Entropic
botania:lens:12, Mana Lens: Influence
botania:lens:13, Mana Lens: Weight
botania:lens:14, Mana Lens: Paintslinger
botania:lens:15, Mana Lens: Kindle
botania:lens:16, Mana Lens: Force
botania:lens:17, Mana Lens: Flash
botania:lens:18, Mana Lens: Warp
botania:lens:19, Mana Lens: Redirective
botania:lens:20, Mana Lens: Celebratory
botania:lens:21, Mana Lens: Flare
botania:lens:22, Mana Lens: Messenger
botania:lens:23, Mana Lens: Tripwire
botania:rune:0, Rune of Water
botania:rune:1, Rune of Fire
botania:rune:2, Rune of Earth
botania:rune:3, Rune of Air
botania:rune:4, Rune of Spring
botania:rune:5, Rune of Summer
botania:rune:6, Rune of Autumn
botania:rune:7, Rune of Winter
botania:rune:8, Rune of Mana
botania:rune:9, Rune of Lust
botania:rune:10, Rune of Gluttony
botania:rune:11, Rune of Greed
botania:rune:12, Rune of Sloth
botania:rune:13, Rune of Wrath
botania:rune:14, Rune of Envy
botania:rune:15, Rune of Pride
botania:manaTablet, item.manaTablet.name
botania:manaGun, item.manaGun.name
botania:manaCookie, item.manaCookie.name
botania:fertilizer, item.fertilizer.name
botania:grassSeeds:0, Pasture Seeds
botania:grassSeeds:1, Boreal Seeds
botania:grassSeeds:2, Infestation Spores
botania:grassSeeds:3, Dry Pasture Seeds
botania:grassSeeds:4, Golden Pasture Seeds
botania:grassSeeds:5, Vivid Pasture Seeds
botania:grassSeeds:6, Scorched Pasture Seeds
botania:grassSeeds:7, Infused Pasture Seeds
botania:grassSeeds:8, Mutated Pasture Seeds
botania:dirtRod, item.dirtRod.name
botania:terraformRod, item.terraformRod.name
botania:grassHorn:0, Horn of the Wild
botania:grassHorn:1, Horn of the Canopy
botania:grassHorn:2, Horn of the Covering
botania:manaMirror, item.manaMirror.name
botania:manasteelHelm, item.manasteelHelm.name
botania:manasteelHelmReveal, item.manasteelHelmReveal.name
botania:manasteelChest, item.manasteelChest.name
botania:manasteelLegs, item.manasteelLegs.name
botania:manasteelBoots, item.manasteelBoots.name
botania:manasteelPick, item.manasteelPick.name
botania:manasteelShovel, item.manasteelShovel.name
botania:manasteelAxe, item.manasteelAxe.name
botania:manasteelSword, item.manasteelSword.name
botania:manasteelShears, item.manasteelShears.name
botania:terrasteelHelm, item.terrasteelHelm.name
botania:terrasteelHelmReveal, item.terrasteelHelmReveal.name
botania:terrasteelChest, item.terrasteelChest.name
botania:terrasteelLegs, item.terrasteelLegs.name
botania:terrasteelBoots, item.terrasteelBoots.name
botania:terraSword, item.terraSword.name
botania:tinyPlanet, item.tinyPlanet.name
botania:manaRing, item.manaRing.name
botania:auraRing, item.auraRing.name
botania:manaRingGreater, item.manaRingGreater.name
botania:auraRingGreater, item.auraRingGreater.name
botania:travelBelt, item.travelBelt.name
botania:knockbackBelt, item.knockbackBelt.name
botania:icePendant, item.icePendant.name
botania:lavaPendant, item.lavaPendant.name
botania:goldenLaurel, item.goldenLaurel.name
botania:magnetRing, item.magnetRing.name
botania:waterRing, item.waterRing.name
botania:miningRing, item.miningRing.name
botania:terraPick, item.terraPick.name
botania:divaCharm, item.divaCharm.name
botania:flightTiara:0, Flügel Tiara
botania:flightTiara:1, Flügel Tiara
botania:flightTiara:2, Flügel Tiara
botania:flightTiara:3, Flügel Tiara
botania:flightTiara:4, Flügel Tiara
botania:flightTiara:5, Flügel Tiara
botania:flightTiara:6, Flügel Tiara
botania:flightTiara:7, Flügel Tiara
botania:flightTiara:8, Flügel Tiara
botania:enderDagger, item.enderDagger.name
botania:quartz:0, Smokey Quartz
botania:quartz:1, Mana Quartz
botania:quartz:2, Blaze Quartz
botania:quartz:3, Lavender Quartz
botania:quartz:4, Redquartz
botania:quartz:5, Elven Quartz
botania:quartz:6, Sunny Quartz
botania:waterRod, item.waterRod.name
botania:elementiumHelm, item.elementiumHelm.name
botania:elementiumHelmReveal, item.elementiumHelmReveal.name
botania:elementiumChest, item.elementiumChest.name
botania:elementiumLegs, item.elementiumLegs.name
botania:elementiumBoots, item.elementiumBoots.name
botania:elementiumPick, item.elementiumPick.name
botania:elementiumShovel, item.elementiumShovel.name
botania:elementiumAxe, item.elementiumAxe.name
botania:elementiumSword, item.elementiumSword.name
botania:elementiumShears, item.elementiumShears.name
botania:openBucket, item.openBucket.name
botania:spawnerMover, item.spawnerMover.name
botania:pixieRing, item.pixieRing.name
botania:superTravelBelt, item.superTravelBelt.name
botania:rainbowRod, item.rainbowRod.name
botania:tornadoRod, item.tornadoRod.name
botania:fireRod, item.fireRod.name
botania:vineBall, item.vineBall.name
botania:slingshot, item.slingshot.name
botania:manaBottle, item.manaBottle.name
botania:laputaShard:0, Shard of Laputa
botania:laputaShard:4, Shard of Laputa
botania:laputaShard:9, Shard of Laputa
botania:laputaShard:14, Shard of Laputa
botania:laputaShard:19, Shard of Laputa
botania:virus:0, Necrodermal Virus
botania:virus:1, Nullodermal Virus
botania:reachRing, item.reachRing.name
botania:skyDirtRod, item.skyDirtRod.name
botania:itemFinder, item.itemFinder.name
botania:superLavaPendant, item.superLavaPendant.name
botania:enderHand, item.enderHand.name
botania:glassPick, item.glassPick.name
botania:spark, item.spark.name
botania:sparkUpgrade:0, Spark Augment: Dispersive
botania:sparkUpgrade:1, Spark Augment: Dominant
botania:sparkUpgrade:2, Spark Augment: Recessive
botania:sparkUpgrade:3, Spark Augment: Isolated
botania:diviningRod, item.diviningRod.name
botania:gravityRod, item.gravityRod.name
botania:manaInkwell, item.manaInkwell.name
botania:vial:0, Managlass Vial
botania:vial:1, Alfglass Flask
botania:brewVial, item.brewVial.name
botania:brewFlask, item.brewFlask.name
botania:bloodPendant, item.bloodPendant.name
botania:missileRod, item.missileRod.name
botania:holyCloak, item.holyCloak.name
botania:unholyCloak, item.unholyCloak.name
botania:balanceCloak, item.balanceCloak.name
botania:craftingHalo, item.craftingHalo.name
botania:blackLotus:0, Black Lotus
botania:blackLotus:1, Blacker Lotus
botania:monocle, item.monocle.name
botania:clip, item.clip.name
botania:cobbleRod, item.cobbleRod.name
botania:smeltRod, item.smeltRod.name
botania:worldSeed, item.worldSeed.name
botania:spellCloth, item.spellCloth.name
botania:thornChakram:0, Thorn Chakram
botania:thornChakram:1, Flare Chakram
botania:overgrowthSeed, item.overgrowthSeed.name
botania:craftPattern:0, Crafting Pattern #1: 1x1
botania:craftPattern:1, Crafting Pattern #2: 2x2
botania:craftPattern:2, Crafting Pattern #3: 1x2
botania:craftPattern:3, Crafting Pattern #4: 2x1
botania:craftPattern:4, Crafting Pattern #5: 1x3
botania:craftPattern:5, Crafting Pattern #6: 3x1
botania:craftPattern:6, Crafting Pattern #7: 2x3
botania:craftPattern:7, Crafting Pattern #8: 3x2
botania:craftPattern:8, Crafting Pattern #9: Donut
botania:ancientWill:0, Will of Ahrim
botania:ancientWill:1, Will of Dharok
botania:ancientWill:2, Will of Guthan
botania:ancientWill:3, Will of Torag
botania:ancientWill:4, Will of Verac
botania:ancientWill:5, Will of Karil
botania:corporeaSpark:0, Corporea Spark
botania:corporeaSpark:1, Master Corporea Spark
